Product,Price,Gender
Lifting Crossover Cotton Shorts,42.0,0
Lifting Logo Leggings,42.0,0
Vital Seamless Sports Bra,42.0,0
"Sport  5"" Shorts",38.0,1
Boxer Brief 5PK,56.0,1
Fleece Oversized Hoodie,60.0,0
Premium Lifting T-Shirt,32.2,1
Training Long Sleeve Top,26.0,0
Strength Department Graphic Shorts,26.6,0
Sport Seamless Tank,21.0,1
Legacy Short Sleeve Crop Hoodie,26.6,1
React Drop Arm Tank,24.0,1
Powered By Pre Sweatshirt,36.8,0
Adapt Safari Seamless Bralette,42.0,0
Rest Day Sweats 1/2 Zip Pullover,56.0,0
Ribbed Shorts,21.0,0
Premium Lifting Drop Arm Tank,21.0,1
Pintuck Shorts,28.0,0
British Iron Heavyweight T-Shirt,50.0,0
Essential Oversized Joggers,44.0,1
Ruched Strappy Sports Bra,30.0,0
Buckle Waisted Shorts,32.0,0
Raglan T-Shirt,26.0,1
Vital Seamless Light Long Sleeve Top,40.0,0
Rest Day Cargo Pants,46.2,1
Heritage Washed T-Shirt,40.0,1
Double Up Sports Bra,34.0,0
Graphic Crew Socks 7PK,28.8,1
Tattoo Oversized Hoodie,40.0,0
Everyday Seamless Shorts,28.0,0
Element Baselayer Shorts,18.2,1
Flat Knit Joggers,80.0,1
Training Oversized T-Shirt,30.0,0
Strappy All in One,60.0,0
Stretch Woven Cargo Shorts,40.0,1
Scallop Hem Shaped Shorts,22.4,0
Rest Day Buttery Soft Long Sleeve Top,38.0,0
Superset Crop Zip Hoodie,50.0,0
Fleece Lined Pocket Leggings,23.2,0
Flex Sports Long Sleeve Crop Top,28.0,0
Elevate Longline Sports Bra,13.2,0
Elevate Shelf Tank,38.0,0
Strappy Back Light Support Sports Bra,26.6,0
Sweat Seamless Shorts,32.2,0
Crest V-Neck T Shirt,22.0,1
Stacked Hoodie,48.0,1
Legacy T-Bar Sports Bra,30.8,0
Power Zip Up Hoodie,60.0,1
Sweat Seamless Sports Bra 2.0,32.2,0
Premium Legacy Tank,38.0,0
everywear Track Pants,85.0,1
Rest Day Sweats Hoodie,60.0,0
Lifting Club Graphic Baby Tee,25.6,0
"Arrival 5"" Shorts",18.2,1
Apex Long Sleeve T-Shirt,52.0,1
Cotton Bodysuit,19.6,0
Corset Seamless Crop Tank,40.0,0
everywear Relaxed Hoodie,60.0,1
Grunge Oversized T-Shirt,32.0,1
React Drop Arm Tank,24.0,1
Strong Peach Crop Tank,18.0,0
Arrival Tank,20.0,1
Adapt Fleck Seamless Halterneck Bralette,32.2,0
"Lifting Club Mesh 5"" Shorts",28.0,1
Everyday Seamless Long Sleeve Crop Top,28.0,1
One Shoulder Sports Bra,30.0,0
Asymmetric Shelf Tank,25.2,0
Training Crop tank,20.0,0
I Heart Gym Joggers,30.8,0
"Sport  7"" Shorts",38.0,1
Icon 1 Trend Long Sleeve Top,35.2,0
"Sport 5"" Shorts",22.8,1
Heart Marl Leggings,37.8,0
Vital Seamless Regular Leggings,54.0,0
American Muscle Extreme Oversized T-Shirt,40.0,1
Built in the UK T-Shirt,38.0,1
Superset Tank,28.0,0
"Sport  5"" Shorts",38.0,1
Elevate Shorts,48.0,0
"Crest Cargo 7"" Shorts",30.0,1
Fitness Graphic Shorts,28.0,1
GSLC Weight Graphic Pants,40.0,0
Crest Oversized Hoodie,46.0,1
Element Baselayer Long Sleeve T-Shirt,28.0,1
Vital Seamless Sports Bra,42.0,0
Element Baselayer T-Shirt,19.8,1
Dumbells & Deadlifts Oversized T-Shirt,24.0,0
Critical 2.0 Drop Arm Tank,14.0,1
Training Fleece Cropped Sweatshirt,32.0,0
Premium Legacy Hoodie,80.0,1
Ribbed Legging,30.4,0
Tapered Woven Pants,56.0,0
Rest Day Sweats Joggers,56.0,0
Adapt Fleck Seamless Leggings,60.0,0
Ruched Sports Bra,30.0,1
Rest Day Sweat Shorts,46.0,0
Lifting Club Apparel Graphic T-Shirt,38.0,1
Barbell Hearts Oversized T-Shirt,32.0,0
Vital Seamless Sports Bra,42.0,0
GSLC Weight Graphic Pants,40.0,0
Lightweight High Support Sports Bra,32.0,0
Pintuck Shorts,22.4,0
Collegiate Joggers,44.0,0
Lift Contour Seamless Leggings,60.0,1
Printed Pumper Pants,49.5,1
Everyday Seamless Tight Fit Tee,28.0,0
Training Fleece Shorts,34.0,0
Speed 1/4 Zip,50.0,1
Graphic T-Reps Crew 3pk,18.0,1
Vital Seamless 1/4 Zip,44.0,1
Stitch Feature Sports Bra,28.0,0
Legacy Logo Tight Shorts,40.0,0
Ribbed Tank 1PK,16.0,1
Rest Day Sweat Joggers,44.8,0
Block Oversized T-Shirt,30.0,0
Element Baselayer T-Shirt,22.0,1
Essential Oversized Joggers,44.0,1
Essential Oversized T-Shirt,26.0,1
Rest Day Essentials Cargo Joggers,56.0,1
Premium Legacy Tank,30.0,1
Varsity Mesh Shorts,38.0,1
Elevated Power T-Shirt,38.0,0
Power Washed Joggers,56.0,1
Adapt Camo Long Sleeve Crop Top,44.0,0
Care Label Graphic Oversized T-Shirt,32.0,0
Adapt Camo Seamless Ribbed Leggings,48.0,0
Track Top,70.2,1
"Tactical 6"" Short",62.0,1
Legacy Shorts,36.0,1
Premium Legacy Shorts,50.0,1
2 in 1 High Waisted Skirt Leggings,58.0,0
Ease Woven Joggers,60.0,1
Heavy Duty Apparel T-Shirt,34.0,1
Corset Seamless Crop Tank,40.0,0
Lifting Baddie Midi Long Sleeve Top,23.8,0
Heritage Washed Crew,40.6,1
Block T-Shirt,26.0,1
Barbell Hearts Seamless Baby Tee,36.0,0
Adapt Camo Seamless Long Sleeve Crop Top,32.2,0
Legacy Logo Tight Shorts,32.0,0
Adapt Camo Seamless Sports Bra,27.6,0
GS Power Oversized T-Shirt,36.0,0
Cargo Woven Pants,44.8,0
Sport Crew Sweatshirt,23.0,1
Strap Feature Sports Bra,21.0,0
Minimal Sports Bra,30.0,0
British Iron T-Shirt,50.0,1
Sport Shorts,26.6,1
Sport Seamless Sports Bra,38.0,0
Cargo Woven Pants,44.8,0
Waffle Oversized T-Shirt,46.0,1
Crest Long Sleeve T-Shirt,26.0,1
Arrival T-Shirt,22.0,1
Legacy T-Shirt,19.6,1
Heritage Washed T-Shirt,28.0,1
Rest Day Sweats Hoodie,60.0,0
Everyday Seamless Long Sleeve Crop Top,28.0,0
"Sport 7"" Shorts",38.0,1
Gains Seamless Bralette,32.0,0
Heavy Duty Lifter Stringer,28.0,1
Power Washed Joggers,56.0,0
Premium Lifting T-Shirt,32.2,1
Premium Legacy Pullover,50.0,1
Lifting Essentials Leggings,38.0,0
Cut Out Bandeau,30.0,0
Rugby Shirt,54.0,1
Crest Long Sleeve T-Shirt,26.0,1
Adapt Camo Cross Back Sports Bra,40.0,0
"Lifting Mesh 5"" Shorts",40.0,1
American Muscle Extreme Oversized T-Shirt,40.0,1
Rest Day Essentials Shorts,38.0,1
Crest T-Shirt,17.6,1
Heritage Washed T-Shirt,40.0,1
Legacy Bra,30.0,0
Legacy Shorts,36.0,1
Crest T-Shirt,22.0,1
Raise The Bar Long Sleeve T-Shirt,46.0,1
Raglan T-Shirt,26.0,1
Cut Out Bandeau,30.0,0
Mesh Tank,36.0,1
Lifting Lightweight 1/4 Zip Pullover,30.0,0
"Apex 7"" Hybrid Shorts",41.6,1
everywear Relaxed Long Sleeve Tee,35.2,1
Lightweight Jersey Shorts,22.4,1
Premium Legacy Tank,38.0,0
Interlock Tech Joggers,66.0,1
everywear Relaxed Long Sleeve Tee,35.2,1
Gains Seamless Fitted Crop Top,32.0,0
everywear Ripstop Shorts,55.8,1
Stretch Woven Cargo Shorts,40.0,1
Lift Contour Seamless Shorts,46.0,0
Adapt Camo Seamless Leggings,60.0,0
Ribbed Long Sleeve T-Shirt,26.0,1
Everyday Seamless All in One,40.0,0
Power Washed Crew,58.0,1
"Sport 5"" Shorts",26.6,1
Everyday Seamless Tank,28.0,0
Ribbed Cotton Seamless T-Shirt,23.8,0
Heavyweight Washed Cargo Shorts,50.0,1
Crest Long Sleeve T-Shirt,26.0,1
Essential T-Shirt,26.0,1
Rugby Shirt,54.0,1
Crest Long Sleeve T-Shirt,26.0,1
Power Washed Crew,58.0,1
Sweat Seamless Shorts,46.0,0
Premium Legacy Joggers,68.0,0
Lifting Essentials Cropped Tank,32.0,0
Legacy Short Sleeve Crop Hoodie,26.4,1
Stacked Hoodie,48.0,1
Training Fleece Cropped Sweatshirt,32.0,0
Vital Seamless 2.0 V Neck  Sports Bra,38.0,0
I Love Squats Graphic Oversized Tee,32.0,0
Lifting Essentials Long Sleeve Top,38.0,1
Rest Day Washed T-Shirt,44.0,1
Vital Seamless Light Tank,30.0,0
Elevate Tattoo Graphic Sports Bra,44.0,0
Premium Legacy Washed 2-in-1 Long Sleeve,46.0,0
Lifting 2 In 1 Long Sleeve Crop Top,30.8,0
"Arrival 7"" Shorts",26.0,1
Heavy Duty Apparel Hoodie,50.0,1
Running Leggings,40.6,0
Legacy Drop Arm Hoodie,33.6,1
Built in the UK Hoodie,54.0,1
Contour Leggings,40.0,0
GSLC Weight Graphic Pants,40.0,0
Rest Day Essentials Joggers,50.0,1
Strength Department Graphic Joggers,44.0,0
"Sport 7"" Shorts",42.0,1
React Drop Arm Tank,24.0,1
Heavy Weight Graphic T-Shirt,40.0,1
Performance Polo Shirt,46.0,1
Everyday Seamless Tank,28.0,0
Premium Legacy T-Shirt,40.0,1
Adapt Camo Seamless Lace Up Back Top,27.6,0
Sweat Seamless Leggings,60.0,0
Rest Day Cotton Contour Pullover,48.0,0
Lifting Oversized Printed Woven Pants,56.0,1
Blur Seamless T-Shirt,25.2,0
Retake Seamless T-Shirt,40.0,1
Strength In Numbers Long Sleeve Top,38.0,0
everywear Relaxed Zip Hoodie,80.0,1
Bodybuilding Graphic T-Shirt,34.0,1
GS Power Regular Leggings,44.8,0
Apex Seamless Tank,42.0,1
Sport T-Shirt,28.0,1
Sweat Seamless Sports Bra,46.0,0
Recess Shorts,28.0,1
Cropped Bomber Jacket,47.6,0
Rest Day Essentials Hoodie,56.0,1
"Lifting Club Mesh 5"" Shorts",40.0,1
Blur Seamless Long Sleeve Crop Top,26.6,0
Everyday Seamless Leggings,38.0,1
Grunge Oversized T-Shirt,32.0,0
Adapt Camo Seamless Sports Bra,38.4,0
Crest Oversized Hoodie,46.0,1
Blur Seamless Long Sleeve Crop Top,26.6,0
Rest Day Essentials Cargo Joggers,56.0,1
"Lifting Mesh 5"" Shorts",40.0,1
GS Power Regular Leggings,56.0,0
Diamante Baby Tee,24.0,0
Sets On The Beach Hoodie,40.0,0
Team GS Baby Tee,22.4,0
Everyday Seamless T-Shirt,28.0,0
Everyday Trend Crop Top,30.0,0
Adapt Camo Seamless Leggings,60.0,0
Training Oversized Fleece Hoodie,32.2,0
Crossover Shorts,24.0,0
Bulking Season Brushed Hoodie,50.0,0
Sets N Reps Hoodie,54.0,1
"Interlock Tech 6"" Shorts",46.0,1
Bulking Season Brushed Joggers,44.0,0
Spartan T-Shirt,38.0,1
Everyday Trend Crop Top,30.0,0
Strength Department Oversized T-Shirt,32.0,0
I Love Squats Hoodie,40.0,0
Flannel Shirt,70.0,1
Premium Legacy T-Shirt,36.0,1
"Sport 5"" 2 in 1 Shorts",42.0,1
Legacy Drop Arm Tank,24.0,1
Embroidered Logo Oversized T-Shirt,50.0,0
"Sport 7"" Shorts",30.4,1
Minimal Sports Bra,30.0,1
Rest Day Essential Crew,25.0,1
Vital Seamless 2.0 Shorts,40.0,1
Crest Joggers,38.0,1
Crest Joggers,38.0,1
Legacy Henley,32.4,1
Running 2 In 1 Shorts,14.4,0
Sport Long Sleeve T-Shirt,18.0,1
Crest Tank,20.0,1
Speed Tank,28.8,1
Halterneck Crop Cami Tank,25.2,0
Sweat Seamless Leggings,60.0,0
"Lifting Mesh 7"" Shorts",28.0,1
"Apex 5"" Hybrid Short",46.0,1
Rest Day Cotton Contour Pullover,48.0,0
Adapt x Whitney Shorts,44.0,0
2012 Lifting Tank,28.0,1
Asymmetric Shelf Tank,28.8,0
Adapt Camo Seamless Ribbed Shorts,44.0,0
Lifting Babe Tee,22.4,0
Training Oversized Cotton Long Sleeve Top,30.0,0
Super Natural Cut Off Tank,36.0,1
Lifting Club T-Shirt,18.2,1
Heritage Washed T-Shirt,28.0,1
Rest Day Washed Long Sleeve T-Shirt,44.0,1
Vital Seamless 2.0 Leggings,54.0,1
Grunge Oversized Hoodie,70.0,0
Fitness Graphic T-Shirt,30.0,1
Ribbon Ankle Leggings,43.2,0
Corset Seamless Long Sleeve Top,44.0,0
Heritage Washed Short Sleeve Crew,32.2,1
Built in the UK T-Shirt,38.0,1
Control Baselayer Shorts,34.0,1
Tapered Woven Pants,56.0,0
Legacy Drop Arm Tank,24.0,1
Rib Shorts,28.0,0
"Interlock Tech 6"" Shorts",46.0,1
Care Label Graphic Brushed Hoodie,40.0,0
Rest Day Woven Cargo Pants,63.0,1
2012 Lifting Cut off Tank,28.0,1
Trophy Graphic Crew,60.0,1
Adapt Fleck Seamless Shorts,44.0,0
Adapt Marl Seamless Leggings,18.0,0
Block Oversized Hoodie,46.0,0
Block Crop Top,18.2,0
Apex Perform T-Shirt,40.0,1
"Apex Run 5"" Shorts",52.0,1
Lifting Babe Tee,22.4,0
Fairy Pre Workout Baby Tee,32.0,0
Strappy Back Light Support Sports Bra,26.6,0
Scallop Hem Shaped Shorts,28.0,0
Adapt Monogram Seamless Ruched Crop Top,36.8,0
Collegiate Hoodie,70.0,1
Cotton Bralette,16.8,0
Power Washed Crew,58.0,1
Strength Dept Graphic T-Shirt,38.0,1
Barbell Hearts Seamless Baby Tee,36.0,0
Adapt Fleck Sports Bra,46.0,0
Vital Seamless Shorts,40.0,0
Strength Department Oversized T-Shirt,32.0,0
Apex Contrast Leggings,68.0,0
"Interlock Tech 6"" Shorts",46.0,1
Corset Seamless Shorts,40.0,0
Rest Day Sweat Shorts,46.0,0
Heritage Washed T-Shirt,28.0,1
Critical Stringer,16.8,1
Training Leggings,38.0,0
"Workout Gear Mesh 5"" Shorts",40.0,1
Rest Day Sweats Hoodie,60.0,0
Elevate Longline Sports Bra,17.6,0
Adapt Camo Graphic Oversized Top,40.0,0
Elevate Tracktop,68.0,0
Strappy Back Light Support Sports Bra,26.6,0
Everyday Open Back Long Sleeve Top,34.0,0
Halterneck Crop Cami Tank,25.2,0
Training Shorts,35.0,1
Interlock Tech Joggers,66.0,1
Adapt Safari Seamless Leggings,60.0,0
Everyday Seamless Tight Fit Tee,28.0,0
"Arrival 7"" Shorts",26.0,1
Arrival T-Shirt (Reg Fit),22.0,1
Vital Seamless 2.0 Leggings,54.0,0
Buckle Waisted Shorts,32.0,0
Crest Oversized Zip Up Hoodie,39.2,1
"Sport  7"" Shorts",38.0,1
Geo Seamless T-Shirt,23.8,1
Team GS Baby Tee,22.4,0
Rest Day Sweats 1/4 Zip,60.0,1
Boost Bra,33.6,0
"Workout Gear Mesh 5"" Shorts",40.0,1
Fitness Graphic Shorts,28.0,1
Global Lifting Shorts,44.0,1
Legacy Henley,36.0,1
Legacy Oversized Long Sleeve Top,46.0,0
Legacy Shorts,36.0,1
Vital Seamless T-Shirt,30.0,1
Essential Oversized T-Shirt,26.0,1
Lifting Longline T-Shirt Dress,34.8,0
Fleece Joggers,56.0,0
Cut Out Bandeau,30.0,0
Flex Long Sleeve Crop Top,28.0,0
Ease Woven Jogger,60.0,1
Heritage Washed T-Shirt,40.0,1
Sweat Seamless Sports Bra,46.0,0
Rest Day Woven Shorts,40.0,1
Barbell Hearts Oversized Sweatshirt,50.0,0
"Land to Water 6"" Shorts",48.0,1
Blur Seamless T-Shirt,25.2,0
Premium Legacy T-Shirt,36.0,1
Heavyweight Cotton Crop T-Shirt,38.0,0
Lifting Essentials Oversized Sweatshirt,50.0,0
Boost Bra,33.6,0
Legacy Hoodie,48.0,1
Strength Department Oversized Hoodie,40.0,1
Everyday High Neck Long Sleeve Top,34.0,0
everywear Relaxed T-Shirt,40.0,1
Phys Ed Logo Hoodie,48.0,0
Legacy Drop Arm Tank,24.0,1
"Apex Run 4"" Shorts",27.6,1
Apex Seamless Tank,42.0,1
everywear Tech Long Sleeve Tee,40.0,1
Pocket Shorts,40.0,0
Vital Seamless 2.0 Long Sleeve Crop Top,38.0,0
Fleece Cargo Pants,50.0,0
Strength Department Animal Hoodie,66.0,0
Phys Ed Graphic Hoodie,48.0,0
Crest Crew,36.0,1
Training Cotton Tank,20.0,0
Ease Woven Joggers,60.0,1
Wordmark Crew 3pk,16.0,0
Training Oversized T-Shirt,30.0,0
Blur Seamless Shorts,28.0,0
Vital Seamless 2.0 Shorts,40.0,0
Heritage Washed Hoodie,44.8,1
"Sport  5"" Shorts",38.0,1
Premium Legacy 1/4 Zip,74.0,1
Flex Sports Long Sleeve Crop Top,28.0,1
Running Dept. T Shirt,36.0,1
Legacy Short Sleeve Crop Hoodie,24.0,1
"Hybrid 6"" Shorts",42.0,1
Ruche Skirt,32.2,0
Premium Lifting Boxy Cut Off Tank,32.4,1
"Arrival 5"" Shorts",18.2,1
Legacy Drop Arm Tank,24.0,1
Premium Legacy Pullover,50.0,1
Crest Sweatshirt,21.6,1
Everyday Seamless Mock Long Sleeve T-Shirt,26.0,1
Rest Day Woven Shorts,45.0,1
Arrival Tank,20.0,1
Minimal Sports Bra,30.0,0
British Lifting Goods Graphic T-Shirt,38.0,1
"Printed Lifting Mesh 5"" Shorts",36.8,1
Crew Socks 5pk,26.0,1
Pocket Shorts,40.0,0
Adapt Fleck Seamless Long Sleeve Crop Top,46.0,0
Blur Seamless Cami,26.6,0
Everyday Long Sleeve Midi Top,30.0,0
Ribbed Cotton Seamless Body Fit Tank,27.2,0
Legacy Rag Top,25.2,1
Collegiate Shadow Washed T-Shirt,44.0,1
Cut Out Bandeau,30.0,0
Lifting Baddie Graphic Sweatshirt,35.0,0
Critical T-Shirt,32.0,1
Sherpa Puffer Jacket,94.0,0
Property Of Hoodie,42.0,1
Power Joggers,48.0,1
Arrival Marl T-Shirt,22.0,1
"Sport 5"" Shorts",26.6,1
Grunge Oversized Hoodie,70.0,0
Fleece Oversized Sweatshirt,60.0,0
British Iron Heavyweight Hoodie,70.0,0
GS Power Regular Leggings,56.0,1
Apex Multi Shorts,25.0,1
Blur Seamless Cami,26.6,0
"Arrival 7"" Shorts",23.4,1
Collegiate T-Shirt,44.0,1
Legacy Drop Arm Tank,24.0,1
Crest Oversized Hoodie,46.0,1
Lightweight Jersey Shorts,25.6,1
Dumbells & Deadlifts Baby Tee,24.0,0
Cargo Woven Pants,44.8,0
Lifting Club Apparel Graphic Shorts,40.0,1
Heavyweight Washed Cargo Joggers,80.0,1
Performance Polo Shirt,46.0,1
Ribbed Cotton Seamless Body Fit Tank,23.8,0
Dumbells & Deadlifts Baby Tee,24.0,0
Power T-Shirt,36.0,1
Crest Oversized Zip Up Hoodie,43.2,1
"Heritage 5"" Shorts",32.2,1
Corset Seamless Sports Bra,40.0,0
Lifting Essentials Oversized Sweatshirt,50.0,0
Vital Seamless  2.0 Crop Top,26.6,0
Contour Leggings,40.0,0
Graphic Crew Socks 7PK,35.2,1
Team GS Baby Tee,22.4,0
Adapt Camo Graphic Oversized Top,40.0,0
Towelling T-Shirt,36.0,1
Essential Oversized Joggers,44.0,1
Lifting Pocket Leggings,54.0,1
Everyday Regular Flared Leggings,38.0,0
"Heavy Duty Apparel 7"" Shorts",30.0,1
"Arrival 7"" Shorts",26.0,1
Rest Day Essentials T-Shirt,32.0,1
Vital Seamless 2.0 Crop Top,38.0,0
Heavyweight Cotton T-Shirt,25.2,0
Arrival Long Sleeve T-Shirt,26.0,1
Rest Day Woven Shorts,40.0,1
Premium Legacy 1/4 Zip,74.0,1
"Sport Printed Run 3"" Shorts",29.4,1
Training Fleece Joggers,42.0,1
Studio Joggers,24.0,1
Trophy Graphic Stringer,28.0,1
everywear Relaxed Sweatpants,70.0,1
Waffle Straight Leg Joggers,60.0,1
Adapt Fleck Seamless Halterneck Bralette- Slate Teal/Cargo Teal,32.2,0
Arrival T-Shirt,22.0,1
Everyday Seamless Shorts,28.0,0
Oversized Hooded Jacket,94.0,1
Vital Seamless 2.0 Light Tank,30.0,0
Legacy Cropped Short Sleeve Crew,44.0,1
"Apex 7"" Hybrid Shorts",52.0,1
"Arrival 7"" Shorts",26.0,1
Strength In Numbers Long Sleeve Top,38.0,0
Everyday C&S Trend Crop Top,30.0,0
Adapt Camo Seamless Ribbed Shorts,44.0,1
Dumbells & Deadlifts Oversized T-Shirt,24.0,1
Elevate Cycling Shorts,19.2,0
"Lifting Club Mesh 5"" Shorts",40.0,1
Legacy Oversized Long Sleeve Top,46.0,0
Adapt Fleck Seamless Crop Top,46.0,0
Lifting Baby T-Shirt,21.0,0
Cord Flared Trousers,64.0,0
Everyday Front V Waistband,28.0,0
Power Washed Joggers,56.0,0
everywear Track Jacket,94.0,1
Collegiate T-Shirt,44.0,1
Everyday Seamless Crop Top,24.0,0
Vital Seamless Shorts,40.0,0
Arrival Slim Marl Tank,12.0,1
Lifting Essentials Oversized Joggers,44.0,1
Ribbed Tank 3 Pack,36.0,1
Everyday Seamless Tank,28.0,0
Pump Cover T-Shirt,28.8,1
Sport Seamless Long Sleeve T-Shirt,20.0,1
Blur Seamless Flared Leggings,37.8,0
Whitney Eyelash Knit Bandeau,17.6,0
Cotton Cargo Pants,50.0,0
Rest Day Sweats Oversized Crew,60.0,0
Contour Shorts,30.4,0
Power Washed Joggers,56.0,0
everywear Relaxed Sweatpants,70.0,1
React Stringer,24.0,1
Vital Seamless 2.0 Light Tank,30.0,0
Lifting Pocket Leggings,54.0,0
Studio Joggers,48.0,1
Legacy Shorts,36.0,1
Training Fleece Joggers,42.0,0
Ribbon Ankle Leggings,43.2,0
Blur Seamless T-Shirt,25.2,0
Mesh Sports Bra,10.4,0
Training Fleece Cropped Sweatshirt,32.0,0
Heavyweight Cotton T-Shirt,36.0,0
Vital Seamless 2.0 Shorts,40.0,0
Marl Flared Leggings,37.8,0
"Hybrid 6"" Shorts",42.0,1
Check Shirt,64.0,1
Adapt Camo Seamless Leggings,60.0,0
Woven Pocket Shorts,26.6,0
Ribbed Long Sleeve T-Shirt,26.0,1
Adapt Camo Graphic Oversized Top,40.0,0
Arrival Long Sleeve T-Shirt,26.0,1
Boxer Brief 5PK,56.0,1
Apex T-Shirt,40.0,1
Arrival T-Shirt,22.0,1
"Apex 5"" Hybrid Short",41.4,1
Everyday Regular Flared Leggings,38.0,0
Essential Oversized Joggers,44.0,1
Legacy Joggers,48.0,0
GS Power Leggings,56.0,0
Grunge Oversized Joggers,68.0,0
GS Power Tight Shorts,36.8,0
Flex Shorts,36.0,0
Training Fleece Zip Hoodie,32.2,0
Everyday Seamless All in One,40.0,0
Elevate Fleece Midi Jacket,84.0,0
Everyday Seamless Long Sleeve Top,28.0,0
Training 7/8 Leggings,15.2,0
Premium Legacy Hoodie,80.0,1
Property Of Stringer,30.0,1
everywear Relaxed Zip Hoodie,64.0,1
Phys Ed Graphic Sweatpants,44.8,0
Phys Ed Graphics Relaxed Sweatshirt,43.2,0
Iron Plate T-Shirt,50.0,1
Lifting Essentials Long Sleeve Top,38.0,0
Barbell Hearts Oversized Jogger,48.0,0
Training Sweat Shorts,11.2,0
Essential Oversized Joggers,39.6,1
Training Dept. T-Shirt,42.0,0
Lifting Man T-Shirt,42.0,1
React Stringer,24.0,1
Arrival T-Shirt,22.0,1
"Racerback High Support Sports Bra, B/C-E/F",32.4,0
Training Hoodie,48.0,1
Rest Day Essentials Hoodie,56.0,1
Vital Seamless 2.0 Crop Top,38.0,0
Arrival Woven Joggers,40.0,1
Training Oversized Fleece Sweatshirt,32.2,0
Element Baselayer Long Sleeve T-Shirt,28.0,1
Rest Day Washed Long Sleeve T-Shirt,44.0,1
Sport T-Shirt,28.0,1
"5"" Swim Short",24.0,1
Arrival Sleeveless T-Shirt,26.0,1
everywear Relaxed Hoodie,60.8,0
Everyday Seamless Leggings,26.6,0
Ribbed Tank 3pk,36.0,1
Legacy Stringer,21.6,1
Crest T-Shirt,22.0,1
Legacy Sports Bra,26.6,0
"Rest Day 6"" Cargo Shorts",56.0,1
Ruched Sports Bra,30.0,0
Premium Lifting Drop Arm Tank,30.0,1
Premium Legacy T-Shirt,36.0,1
Lifting Long Sleeve Crop Top,26.6,0
Cotton Oversized Long Sleeve Top,40.0,0
Corset Seamless Long Sleeve Top,44.0,0
Tattoo Midi Tank,25.6,0
Raw Cut Legging,37.8,0
Phys Ed Logo Sweatshirt,43.2,0
"Arrival 5"" Shorts",26.0,1
Track Top,70.2,1
Premium Legacy Shorts,45.0,1
"Heavy Duty Apparel 7"" Shorts",30.0,1
Essential Jogger,50.0,1
Strength In Numbers Hoodie,50.0,0
Geo Seamless Long Sleeve T-Shirt,40.0,1
Geo Seamless T-Shirt,36.0,1
Elevate Cycling Shorts,19.2,0
Peek A Boo Sports Bra,30.0,0
Corset Seamless Sports Bra,40.0,0
"Lifting Mesh 7"" Shorts",40.0,1
Ruched Strappy Sports Bra,30.0,0
